ilinok	ilinek
kofili	kofilis
realamant	realamant
daoulinet	daoulinet
voall-aviuz	gwallavius
dinac'hiou	dinac'h
æren	aeren
bandeàu	bandev
berdallan	peurzallañ
marc'hed	marc'het
dûquel	kel
dieubi	dieubiñ
riolen	riolenn
tardemant	tardamant
brisilieu	brezel
lusquemanteu	luskamant
nezadegou	nezadeg
peulvan	peulvan
disentamant	disentamant
disouillet	disouilhañ
grollerès	korollerez
lenn	lenn
gamz	kamz
noaz-bloc'h	noazh-blouc'h
vincius	visius
tremeniat	tremeniad
soulen	soulenn
goal-guemeret	gwallgemeret
oll-pur	hollbur
amzer	amzer
léprus	lepruz
divoaz	divoas
dourne-oh-dourne	dorn-ouzh-dorn
ramplus	ramplus
carantenez	karantenez
azprena	asprenañ
taouen	taouen
accouragein	akourajiñ
ravoderez	ravoderezh
glaouaer	glaouaer
kinézen	kignezenn
c'hournaouok	kornaoueg
sich	sich
skodeu	skod
rumadigueah	rummadigezh
moalet	moalañ
clet	klet
Vourc'h-Venn	Bourc'h-Wenn
skubunadou	skubennadoù
koañtiz	koantiz
taoliou amzer	taol-amzer
annamad	annamat
vriata	briata
symbolen	simbolenn
disc'hlac'harin	disc'hlac'hariñ
hantera	hanterañ
arhent	arhent
beon	beon
fablen	fablenn
envoadet	enwadet
skora	skorañ
gleu	krao
sal	seul
hadrei	adreiñ
æriadic	euriad
kigeret	kigeriñ
barriquad	barrikad
surtout	surtout
goal-beden	gwallbedenn
morbig-marellet	morbig-marellet
fic'h	fic'h
pillerad	pilerad
gouive	gouez
avréhussan	avrec'hus
krot	krot
taneoc'h	tane
bromission	promision
chalounessou	chalones
divlas	divlaz
stadudet	statudañ
dromplæson	tromplezon
taran	taran
duemèt	tommaat
skouer-bañk	skouer-bank
instituet	instituañ
arabet	arab
emgannet	emgannañ
setîm	setim
barvier	barver
d'ino	eno
beteg-hen	betek-henn
palarennad	palarenn
ampouezounet	ampoezonet
trec'h	trec'h
handad	kantad
astafo	hastafo
e rapin	rapinañ
leinouryen	leiner
souezuz	souezhus
berc'henna	perc'hennañ
droug-preseguêres	droukprezegerezh
liñtrouer	lintrouer
c'hollad	kollad
kougouleet	kougoulaat
diskianteka	diskiantek
dic'hlaignet	dic'hlanniet
taran	taran
richen	richen
auter	aoter
rei golo	reiñ
calculi	kalkulañ
or-porched	dor-borched
digourachi	digourajiñ
dreuz	truez
thereza	tereza
truillennok	truilhennek
skob	skob
hardel	kardell
nadozet	nadoziñ
petoare	petore
zismantra	dismantrañ
skurpul	skorpul
divoursein	divoursañ
cresserelle	kreserel
fourradou	fourrad
velfet	melc'hwed
carmelitezed	karmelitezed
soken	zoken
iskuz	iskuz
padable	padapl
tourkejou	tourked
founta	fontañ
a sederre	sederaat
startaat	startaat
esterloup	esterloup
diraizouni	direzoniñ
votinesen	botinezenn
morléein	morleiñ
kuneheg	gwinizheg
dinaturdet	dinaturded
e zivras	divrazañ
ur barti	parti
skañtek	skanteg
paon	paoñ
riolen	riolenn
farcerez	farserezh
eizdezyeg	eizhteziek
poenieu	poan
tranquilite	trankilite
diahuéléccan	diavelek
torchennet	torchennet
onix	oniks
ober klask	klask
frug-penn	frug-penn
eih-diat	eizhteziad
A pet	pet
fumi	fuma?/fumi?/fumal
prest	prest
renket	renket
spurmanter	spurmanti?
hanter-heur	hantereur
Kefiniañtez	kevniantez
spurja	spurjañ/spurjiñ
bremaik	bremaik
guall Elez	gwallael
balustr	balustr
meis	meiz/mez
amzer	amzer
Vovoau	vovo
gairr	keur
ar c'hlask	klask
Blasfematored	blasfematour
troc'her-coat	troc'her-koad
balustr	balustr
chalquet	chalket
rebutet	reputañ/reputiñ
divouton	divounton
squeudus	skedus
dibratik	dibratik
soignus	sognus
goustet	gousti?
dûardur	duardur
bastet	bastet
ur varaen	baraenn
peur-aichu	peurechu
cetu	setu
Normandi	Normandi
alert	alert
autramant	otramant
digoch	digoch
entanet	entanet
digor	digor
dijaden	dichadenn
compagnunez	kompagnunezh
a ro deomp da anaout	reiñ
dissimur	disimur
goal-hent	gwallhent
tafia	tafia
o voenni	gouenniñ
dic'hlac'har	dic'hlac'hari
divlaz	divlaz
visenadvnt	Azvent
dibrenest	dibrenestr
hentchou	hent
mintinvez	mintinvezh
divouiek	diouiziek
divend	divent
renoncereah	renoserezh
a accord	akort
mor-gragez	morwreg
benefi	penefi
sentuz	sentus
besiadou	bezia
koreenno	korreenn
fal-vin	fallvin
be-vech	bewechbewezh
divehet	divec'hiadivec'hadivec'hi
naturel	naturel
flaoñ	flav
discreden	diskredenn
vantrebistac'h	vantrebistac'h
risk	risk
asgoalc'hit	azgwalc'hi
corgam	gourgamm
stâlet	stalet
digloset	digloset
had-dresset	addresa
Dieubi	dieubiñ
sqebel tousseg	skabell-touseg
zistrafuilla	distrafuilha
fionnage	fionaj
livrour	levrer
distorlok	distorlok
Pa	pa
manioc	maniok
test	test
c'hoar-gaer	c'hoar-gaer
comparabl	komparapl
fuladen	fuladenn
crisset	kriset
dem-anaout	damanavezout
levenedigez	levenedigezh
traouillerou	traouilher
loskus	loskus
dislea	dizleañ
diankenia	diankeniañ/diankenat
zouellerez	touellerezh
dichelpan	dichelpa
spont	spont
goal-stad	gwallstad
isfond	isfont
diodet	diodet
er hloehen	glizhenn/gwlizhenn
bragoniou	bragonio
sul	sul
astenn-gouzoug	astenn-gouzoug
multrer	muntrer
fic'hellerez	fic'hellerezh
cetu	setu
noter	noter
disloñnket	dislonket
chinad	sinaat
lized	lizet
e varikleze	marikleza
ged	get
mouistet	mouestet
ampoesounerez	ampoezonerezh
Lodennek	lodennek
penn-foll	pennfoll
digor	digor
gimaçus	grimasus
bali sant Jakez	Jakez
meaz	maez
deur rid	red
Paludenn	paludenn
flastr	flastr
impar	ampar
ebet	abad
ankinus	ankenius/ankenus
parbleur	parbleur
glizen Vaudez	Maodez
an drevach	trevaj
er groez	kroaz
distreina	distreinañ
melodiussa	melodius
lardous	lardous
Sklasa	sklasañ/sklasiñ
eur wianen	gwianenn
Semenn	semenn
clore	klor
hadkoachet	adkoacha
tana	tanañ
brein	brein
fuzillet	fuzuilhañ
ergentaou	ergentaou
didach	didach
Laou	Laou
sec'het	sec'het
a hurlam	gourlamm
brinnoni	breinoni
glazet	glazet
diboanit	diboaniañ
anavout	anavezout
kroummellenn he zibr	krommellenn-dibr
Rogasionou	rogasion
fals-kredennou	falskredenn
eur ganen	kanenn
flojeal	flojeal
gouive	gouez
toump	toump
