Abafet	abafet
abascder	habaskter
accouragein	akourajiñ
a dlevezo	dlevezout
æren	aeren
æriadic	euriad
æstig	eostig
a flao	flav
a hurlam	gourlamm
a izelea	izelaat
alc'houezet	alc'hwezet
alert	alert
ali	ali
alumetez chimic	chimik
amparval	amparfal
ampoesounerez	ampoezonerezh
ampouezounet	ampoezonet
anavout	anavezout
andon	andon
an drevach	trevaj
ankinus	ankenius/ankenus
annamad	annamat
annamiz	Annamad
Antifonennou	antifonenn
aoter	aoter
a pet	pet
arabet	arab
arc'hdiakr	arc'hdiakr
ar c'hlaskerien ho bouëd	klasker-e-voued
ar c'hlask	klask
ar c'hokombr	kokombr
ar c'horred	korr
a recommandas	rekomandiñ
ar gastidigez	kastidigezh
ar gristenach	kristenaj
arhent	arhent
aridennad	aridennad
aridennet	aridennet
a ro deomp da anaout	reiñ
a sederre	sederaat
asgoalc'hit	azgwalc'hi
asgoalc'hit	azgwalc'hiñ
astafo	hastafo
astenn-gouzoug	astenn-gouzoug
asvoalc'hi	azgwalc'hiñ
aubaden	aobadenn
auter	aoter
autramant	otramant
avréhussan	avrec'hus
a ziadost	diadost
a zicouras	sikour
a ziscamp	diskampañ
azprena	asprenañ
bali sant Jakez	Jakez
bandeàu	bandev
barner a beoc'h	barner-a-beoc'h
barriquad	barrikad
barvier	barver
bastet	bastet
bëchekh	bechig
béiein	beziañ
beo-buez	bev-buhez
beon	beon
berc'henna	perc'hennañ
berdallan	peurzallañ
besiadou	bezia
beteg-hen	betek-henn
beur-savetei	peursaveteiñ
be-vech	bewech
be-vech	bewechbewezh
bevech ma	bewech
beza e chal gant	chal
bifiga	pibidañ
Blasfematored	blasfematour
bloavechennou	bloavezhiennoù
borzcaer	porzh-Kaer
bouillas	bouilhas
bourouz	bourouz
bragoniou	bragonio
brein	brein
brinnoni	breinoni
brisilieu	brezel
bromission	promision
calculi	kalkulañ
carantenez	karantenez
carmelitezed	karmelitezed
cetu	setu
chalounessou	chalones
chalquet	chalket
chapel croaz	chapel-groaz
châs	chas
chif	chif
chinad	sinaat
c'hoar-gaer	c'hoar-gaer
c'hoari toul-pouliq	toullpoullig
c'hollad	kollad
c'hournaouok	kornaoueg
clet	klet
clore	klor
coataat	koataat
compagnunez	kompagnunezh
comparabl	komparapl
corgam	gourgamm
cresserelle	kreserel
crisset	kriset
Daleer	daleer
daoulinet	daoulinet
darc'ha	darc'hañ
degass	degas
déjunet	dijuniñ
dem-anaout	damanavezout
demeus	dimeus
deur rid	red
dezinterez	dizinterest
diachap	diachap
diac'huz	diyac'hus
diahuéléccan	diavelek
diankenia	diankeniañ/diankenat
diboanit	diboaniañ
diboell	diboell
dibratik	dibratik
dic'halloudez	dic'halloudezh
dichelpan	dichelpa
dic'hlac'har	dic'hlac'hari
dic'hlaignet	dic'hlanniet
dic'hloar	dic'hloar
dic'hourda	dic'hourdañ
dic'hoûti	dic'houtiñ
dic'hradet	dic'hradet
didach	didach
Didrompein	didromplañ
dieubi	dieubiñ
Dieubi	dieubiñ
diez	diaez
digoch	digoch
digourachi	digourajiñ
dihouilhet	dihouilhet
dijaden	dichadenn
dilabour	dilabour
dinac'hiou	dinac'h
dinahein	dinac'hiñ
dinaturdet	dinaturded
d'ino	eno
diouech	diouch
diraizouni	direzoniñ
dirouestl	dirouestl
disc'hlac'harin	disc'hlac'hariñ
discrognet	diskrognet
