aabadennou,aabadenno,1868
Aadlamm,aadlamm,2004
aadhueh,aadwezh,1907
aaccord,aakord,1834
aaccordvad,aakordvat,1834
abad,abad,1790
abad,abad,1792
abad,abad,1839
abad,abad,1843
Abad,abad,1856
abad,abad,1904
Abad,abad,1942
abadma,abad,1843
abadma,abad,1844
abadm,abad,1843
abaladeu,abalado,1897
pand,aband,1744
abennd,aband,1792
abar,abare,1921
abar,abare,1932
abar,abare,1939
abaradeu,abareado,1939
abaadeu,abavado,1932
apasou,abazo,1557
Abazeu,abazo,1857
abaze,abazo,1942
abazeukah,abazokazh,1925
abazeukah,abazokazh,1974
abeadra,abeadra,1954
abeadra,abeadra,1955
bellamser,abellamzer,1727
belamzere,abellamzer,1792
Ablamzer,abellamzer,1829
ablamzer,abellamzer,1857
Abellamzer,abellamzer,1877
abellamzer,abellamzer,1922
abellamzer,abellamzer,1890
ablamzrqunt,abellamzer,1839
abldebl,abelldabell,1887
abelldabell,abelldabell,1954
abelldabell,abelldabell,1955
abelldro,abelldro,1902
abellgoz,abellgozh,1905
abellgoz,abellgozh,1915
abellgoz,abellgozh,1925
ablqunt,abellkent,1844
ablquent,abellkent,1861
ablquent,abellkent,1879
ablkent,abellkent,1906
abelkent,abellkent,1932
ablquntma,abellkent,1839
abempenno,abempenno,1990
'Bennarfin,abennarfin,1903
abennarfin,abennarfin,1911
abennund',abenneeunda,1880
bninou,abenneno,1843
abenino,abenneno,1913
abenfinandro,abennfinandro,1900
Abennkont,abennkont,1902
abennkrak,abennkrak,1925
abennnemeur,abennnemeur,1847
bennnemeur,abennnemeur,1862
abennnemeurama,abennnemeur,1921
abennneuze,abennneuze,1876
Abennneuze,abennneuze,1884
Benneuze,abennneuze,1902
abennneuze,abennneuze,1924
Abennneuze,abennneuze,1993
abennporc'hell,abennporc'hell,1966
bebeild'erh,abepeild'arwezh,1818
abebquis,abepgiz,1821
abepgiz,abepgiz,1905
abepgiz,abepgiz,1907
abepgiz,abepgiz,1908
Abepma,abepma,1907
abepmod,abepmod,1913
bebmode,abepmod,1821
abebmode,abepmod,1821
abeurzall,aberzhall,1920
aberzkaer,aberzhkaer,1896
abehkaer,abezhkaer,1849
abhcar,abezhkaer,1857
abezkaer,abezhkaer,1866
abiglammou,abiklammo,1867
abiklammou,abiklammo,1914
abillene,abilhenn,1792
abilpazig,abilpazig,1964
bladnuah,abladnoazh,1767
abladnuah,abladnoazh,1790
ablas,ablas,1907
chomabla,ablas,1834
echoumanablass,ablas,1872
chomabla,ablas,1838
ablas,ablas,1914
jomablas,ablas,1935
Chomompablas,ablas,1872
aboell,aboell,1866
aboell,aboell,1893
boell,aboell,1907
aboell,aboell,1926
aboell,aboell,1935
aboell,aboell,1939
aboc,abok,1880
abokez,abokez,1990
abous,aboueztrao,1732
Aboz,aboz,1913
aboz,aboz,1920
abrantadeu,abrantado,1917
abrezherr,abrezherr,1943
abrezherr,abrezherr,1957
achantelleu,achantello,1908
achantelleu,achantello,1912
ac'haol,ac'haol,1903
ac'haol,ac'haol,1908
ac'haoliek,ac'haolekac'haoliek,1922
ahaoleg,ac'haolekac'haoliek,1967
ac'harden,ac'hardenn,1867
ac'hizall,ac'hizall,1872
Ac'hizall,ac'hizall,1906
Aoudpegource,ac'houdepegoulz,1790
ahoudpegours,ac'houdepegoulz,1925
ahoudpelzo,ac'houdepellzo,1925
Aoudz,ac'houdese,1792
Ahoudez,ac'houdese,1907
achoukegil,achoukkil,1659
agorgammou,ac'hourgammo,1877
ahurlam,ac'hourlamm,1787
ahurlam,ac'hourlamm,1825
ahurlam,ac'hourlamm,1831
ahurlamm,ac'hourlamm,1919
ahoustvad,ac'houstvat,1861
ac'hrasDoue,ac'hrasDoue,1908
ac'hrasDoue,ac'hrasDoue,1925
ac'haoliata,ac'haoliata,1925
ac'henaouadou,ac'henaouado,1926
Ac'hortos,ac'hortoz,1727
ac'hortos,ac'hortoz,1727
ac'hourvez,ac'hourvez,1878
ac'hruzuil,ac'hruzuilh,1870
ac'hruzuil,ac'hruzuilh,1870
adachadou,adachado,1911
adachadou,adachado,1872
adachadou,adachado,1872
adaill,adailh,1846
adaill,adailh,1862
adakadou,adakado,1941
adakadou,adakado,1957
adakado,adakado,1973
adal,adal,1854
adammadamm,adammdadamm,1878
Adamdadam,adammdadamm,1908
Adammdadamm,adammdadamm,1969
adaol,adaol,1877
adaol,adaol,1878
adaol,adaol,1879
adaol,adaol,1906
adaol,adaol,1907
Adl,adaol,1913
adaol,adaol,1936
adaolaskell,adaolaskell,1926
adauldedaul,adaoldadaol,1790
Adaolkrenn,adaolkrenn,1924
Adaolkrenn,adaolkrenn,1950
adaulsompren,adaolsourpren,1856
adaulsompern,adaolsourpren,1922
adaulsompren,adaolsourpren,1931
adlsur,adaolsur,1924
adaulsur,adaolsur,1925
adaolsur,adaolsur,1935
adlsur,adaolsur,1936
adaoltag,adaoltag,1968
adltarz,adaoltarzh,1912
adaoldarzh,adaoltarzh,1955
adaoltrach,adaoltrach,1950
adauleu,adaolo,1854
Adauleu,adaolo,1912
Adapen,adapenn,1792
Adavik,adavik,1913
adavik,adavik,1922
adeod,adeod,1911
adizhagadag,adizhhagadag,1967
adizhhagadag,adizhhagadag,1968
adokad,adogad,1934
adolpat,adolpad,1787
adolpadeu,adolpad(ig)o,1843
adolpadigeu,adolpad(ig)o,1906
Adolpadeu,adolpad(ig)o,1913
adorimel,adorimell,1921
adorimel,adorimell,1939
adorimel,adorimell,1915
durumell,adorimell,1924
adorimell,adorimell,1941
adorimel,adorimell,1967
Adorimel,adorimell,1974
adorkado,adorkado,1907
adorrpenn,adorrpenn,1847
adostberr,adostberr,1907
adosttedost,adostdadost,1849
adostiktra,adostiktra,1905
adoulladou,adoullado,1868
adoullado,adoullado,1865
adoulladou,adoullado,1906
adourtadou,adourtado,1955
trafall,adrafall,1612
tramat,adravat,1612
Adravir,adrawir,1866
adranvad,adrainvat,1902
adrainvat,adrainvat,1908
adrefu,adrefu,1867
adreistholl,adreistholl,1924
adrspar,adreistpar,1893
adrespar,adreistpar,1900
adrestpar,adreistpar,1931
adrzhagadal,adreuzhagadal,1910
adrzhagadal,adreuzhagadal,1934
adreushacahed,adreuzhagahed,1877
adreuzhagahed,adreuzhagahed,1902
adreuzhagahed,adreuzhagahed,1909
adreuzhagahed,adreuzhagahed,1834
adreushacahed,adreuzhagahed,1878
adreuzhagahed,adreuzhagahed,1659
adreushagahet,adreuzhagahed,1878
adreuzhagahed,adreuzhagahed,1900
adreuzhagahed,adreuzhagahed,1911
adreuzhagahed,adreuzhagahed,1732
adreuzhent,adreuzhent,1862
adrojouez,adreuzjouadreuzo,1923
adreujou,adreuzjouadreuzo,1931
adreuzjou,adreuzjouadreuzo,1955
adreuzkaer,adreuzkaer,1929
adrzkaer,adreuzkaer,1939
adrzkaer,adreuzkaer,1939
adreuzskoaz,adreuzskoaz,1938
adreuzskoaz,adreuzskoaz,1957
adreustroad,adreuztroad,1908
adreuzvichanz,adreuzviziez,1910
ac'houezeadreuzvor,adreuzvor,1878
adreuzwel,adreuzwel,1943
adree,adreze,1924
adrezeg,adrezek,1958
adro,adro,1913
adro,adro,1936
adro,adro,1883
Adro,adro,1890
adro,adro,1913
adro,adro,1907
adro,adro,1931
Adro,adro,1938
Adro,adro,1872
adro,adro,1913
adro,adro,1843
adro,adro,1868
Adro,adro,1913
adrochouk,adrochouk,1877
adrochouk,adrochouk,1910
adroetro,adroetro,1869
