bancqouilinocq	ilinek
konfilis	kofilis
renchoufonsier	fosier
realamant	realamant
Daoulinet	daoulinet
voallaviuz	gwallavius
dinac'h	dinac'h
drebiou	drebiou
ren	aeren
bandeu	bandev
berdallan	peurzalla
houret	eoreteoriet
marc'hed	marc'het
A	kel
dieubi	dieubi
ariolen	riolenn
tardemant	tardamant
consoluz	kosolus
erhoalh	rwalc'h
listriavrezel	lestrbrezel
Lusquemanteu	luskamant
nezadegou	nezadeg
peulvanou	peulvan
disentamant	disentamant
disouillet	disouilha
urgrollers	korollerez
lenn	lenn
kamz	kamz
noazpidiboulc'h	noazhpidiboulc'h
vincius	visius
tremeniad	tremeniad
bernvarvern	bernwarvern
slen	soulenn
goalguemeret	gwallgemeret
ollpur	hollbur
abaoepellamzer	amzer
lprus	lepruz
klanvaet	klavaet
divoaz	divoas
dourneohdourne	dornouzhdorn
ramplus	ramplus
stryou	str
carantenez	karantenez
aguetanrah	agentarazh
arvousellenvoan	bouzellennvoan
asprena	asprena
taouen	taouen
acouragein	akouraji
ravoderez	ravoderezh
glaouaer	glaouaerglaouer
qignezenned	kignezenn
cornouec	kornaoueg
sich	sich
scod	skod
rumadigueah	rummadigezh
moalet	moala
Clet	Klet
arVourc'hVenn	Bourc'hWenn
ganthan	auntu
skubunadou	skubennado
coantized	koantiz
tldrouk	taoldroug
annamad	annamat
bryata	briata
Symbolen	simbolenn
aziabarh	aziabarzh
disc'hlac'harin	disc'hlac'hari
gant	hanterahanteri
arhent	arhent
beonou	beon
fablenn	fablenn
enwadet	enwadet
enemscora	skora
kraounfao	kraofaou
seulave	seul
hadrei	adrei
riadeu	euriad
kigeret	kigeri
barriquad	barrikad
surtout	surtout
goalbeden	gwallbedenn
morbigmarellet	morbigmarellet
Fic'h	fic'h
pillerad	pilerad
reoll	reholl
Goez	gouez
avrhad	avrec'had
krot	krot
taneoc'h	tane
bromission	promision
chalounessou	chalones
divlas	divlaz
statudi	statudastatudi
tromplezon	tromplezon
Taran	taran
tomaat	tommaat
skouerbak	skouerbank
instituet	institua
arabet	Arab
emgannet	emgannaemganni
setm	setim
ablamzer	abellamzer
barvryen	barverbarvier
ino	eno
Beteghen	betekhenn
palarennou	palarenn
aventgand	avent
ampouezounet	ampoezonet
deurbiue	dourbev
trec'h	trec'h
Urhandatt	kantad
astafo	hastafo
erapin	rapinarapini
leinouryen	leiner
Souezuz	souezhus
eilgosa	eilkosha
berc'henna	perc'hennaperc'henni
drougpresegures	droukprezegerezh
lintrourou	lintrouer
eurc'hollad	kollad
kougouleet	kougoulaat
diskianteka	diskiantek
dic'hlaignet	dic'hlanniet
aziribis	aziribis
taran	taran
richen	richen
lienenaoter	aoter
reigolo	rei
calculi	kalkulakalkuli
orporched	dorborched
azilerc'h	azilerc'h
skridtamall	skridtamall
digourachi	digouraji
andruessa	truez
MariTereza	Tereza
diranget	dirajet
Truillennok	truilhennek
scep	skob
kardel	kardell
nadozet	nadozi
Petoare	petore
aziabarz	aziabarzh
dismanta	dismantradismantridismantr
skorpul	skorpul
divoursein	divoursadivoursi
cresserelle	kreserel
Eleonora	Eleonora
hunan	eunan
fourradou	fourrad
velfet	melc'hwed
karmelitezed	karmelitezed
zoken	zoken
iskuz	iskuz
padable	padapl
tourquet	tourked
efond	fontafonti
asederaas	sederaat
enemstartaat	startaat
esterloup	esterloup
diraizouni	direzoni
adrespar	adreistpar
votinesen	botinezenn
morlein	morlei
kuneheg	gwinizheg
lonchezrantel	lonkedrantell
Dinaturdet	dinaturded
Divrasa	divrazadivrazi
dioubarty	parti
Chomompablas	ablas
diar	dir
rei	rei
dourdiluch	dourdiluj
ur	parti
Skatek	skanteg
PaonPaon	pao
rioln	riolenn
aherzkaer	aharzkaer
Farcerez	farserezh
ed	bid
eizdezyeg	eizhteziek
poanio	poan
tranquilite	trankilite
ed	gagez
diahulccan	diavelek
pardaeznoz	pardaeznoz
corollers	korollerez
Eurc'hollpenn	kollpenn
suznryen	suner
posset	pozet
didach	didach
Tarieller	tarieller
Hei	hei
loui	luz
asteredennaz	steredennisteredenna
toullarBater	toullarbater
ranjemant	rajamant
Chormi	chormi
disclration	disklrasion
visgouilMikl	Mikael
diboniein	diboaniadiboanii
ehanavi	anavezoutanavoutanaout
hezibr	krommellenndibr
Rogasionou	rogasion
falscredennou	falskredenn
eurganen	kanenn
flojeal	flojeal
goz	gouez
toumptoumptoump	toump
patato	patato
diachap	diachap
Scosellec	skosellek
takounerez	takonerezh
marc'htaul	marc'htaol
pistiga	pistiga
annamiz	Annamad
livna	livna
lc'hlistri	lec'hlistri
lizerousyell	siell
humgollqit	koll
aziscamp	diskampa
gristenach	kristenaj
koulzovije	koulz
begad	begad
IaouBask	YaouBaskYaouFask
dizampouezouni	dizampoezoni
dizesk	dizesk
lipousiez	lipouziezh
lestrreder	lestrreder
Parea	parea
gwenodenn	gwenodenn
qenesqep	keneskob
sevennetmad	sevenet
solanelamant	solennelamant
ribin	ribin
adachadou	adachado
drailvein	drailhvein
vanil	vanilh
Abafet	abafet
arecommandas	rekomandi
souten	souten
takounet	takonet
kaoutkroaz	kroaz
tantationeu	tantasion
chansuz	chasus
frauder	floder
gabanen	kabanenn
kornouriez	kornouriez
mitik	mitig
cuzloar	kuzhloar
peniguen	pinijenn
vaille	vailh
dic'halloudez	dic'halloudezh
Gaouierez	gaouierezh
calzenn	kalzenn
tripoterez	tripoterezh
garinebet	garenebi
pogammed	pavgamm
chokat	chaokatchaokachaoki
epebhent	hent
bchekh	bechig
darc'ha	darc'ha
vindrail	mindrailh
digassendro	degasdegasi
gwarm	gwaremm
bremaik	bremaik
abephent	hent
labaskenn	labaskenn
randounen	randonenn
o	morad
delour	dleour
terriet	terriet
gevredizel	izel
librance	libras
marc'hitiout	marc'hyod
dizatren	dizantren
bezaechalo	chal
dadouez	dadouez
zic'hodella	dic'hodella
divouttonei	divountona
gouallvankout	gwallvankout
Pistaon	pistaon
zislea	dizlea
despeigni	despegni
lovradur	lovradur
dislonk	dislonk
ingal	ingal
gouilhed	goulh
havreqet	havrekaat
Borzcaer	PorzhKaer
bremaik	bremaik
humenidiguez	humenidigezh
Jfourna	iforna
Lambader	Lambader
ariolen	ariolenn
jaugeabl	jaojapl
ollc'halloudeg	hollc'halloudeg
estremded	estremded
dijunet	dijunidijunadijunia
mouralio	morailh
dizeur	dizeur
dibaotre	dibaotre
soubouldou	soubould
duta	tuta
torchennet	torchennet
barnerabeoc'h	barnerabeoc'h
azibreved	dibreveda
edok	edek
marc'hglaour	marc'hglaouaer
subeennei	soubenna
mailluret	mailhuret
Sterndor	sterndor
begajou	begad
penfolet	pennfollet
Gwic'hal	gwic'hal
diac'huz	diyac'hus
c'hoaritoulpouliq	toullpoullig
meiz	meizmez
urvaraen	baraenn
glazennek	glazennek
bloavechennou	bloavezhienno
asvoalc'hi	azgwalc'hi
abostoler	abostoler
diwikhofreetdiwikhewret	diwikefreet
urbrosen	prozenn
troc'hgoug	troc'hgouzoug
neket	neket
fumi	fumafumifumal
bourouz	bourouz
begad	begad
gwall	gwall
mestrdanz	mestrdas
skridou	skrid
Didrompein	didrompladidrompli
einebage	enebaj
man	mann
warvlar	warvlar
despeigni	despegni
mignaoual	mignaoual
Reed	reed
enemdizenoui	dizenoei
paboni	paboni
sargalon	sargalon
Ttebie	tetebietetedie
Lambader	Lambader
marc'hkulier	marc'hkulier
Doucig	dousik
distalav	distalaf
abasder	habaskter
Izkuz	iskuz
frak	frak
meuta	meuta
dleour	dleour
seitcvd	seitekvet
perrest	peurrest
gamdroyeu	kammdro
paguig	bag
neantet	neantet
melenuz	melenus
morvleizy	morvleiz
leinter	aoter
heuzaoeryen	heuzaouer
zaltin	saltin
diez	diaez
interior	interior
tivlat	teolad
lor	lore
mintinves	mintinvezh
sederd	sederaat
porscloz	porzhkloz
dirouestl	dirouestl
plantedigez	plantedigezh
teurel	steurel
spled	spled
Daleer	daleer
motennet	motennet
aizellea	izelaat
Taconeu	takon
olviscoh	ahollviskoazh
bifiga	pibida
receuerion	resever
dezinterez	dizinterest
pave	pavez
melhec	mellek
aubaden	aobadenn
arc'hdiakr	arc'hdiakr
Antifonennou	antifonenn
ali	ali
saotr	saotr
asecouro	sikoursikouri
everz	hewerzh
Glazenn	glazenn
pnnousqull	pennaskell
mougergoulou	mougergoulo
encoach	koach
spluzeg	splusegspuseg
Koulinez	koulinez
estig	eostig
intennein	intenni
temjo	temzio
divlaz	divlaz
visenadvnt	Azvent
dibrenest	dibrenestr
epebent	hent
mintinvez	mintinvezh
divouiek	diouiziek
Divet	divent
renoncereah	renoserezh
aaccord	akort
morvraguez	morwreg
benefi	penefi
Sentus	sentus
aziarvras	azirvras
biein	bezia
koreenno	korreenn
adolpadeu	adolpad(ig)o
falvin	fallvin
bevech	bewechbewezh
enemdivec'hiet	divec'hiadivec'hadivec'hi
naturel	naturel
aflao	flav
goaza	koazhakoazhi
plac'hedbihan	plac'hvihan
discreden	diskredenn
vantrebistac'h	vantrebistac'h
risk	risk
asgoalc'hit	azgwalc'hi
agorgammou	gourgamm
stlet	stalet
digloset	digloset
haddresset	addresa
agreistout	agreiztout
enemzieubi	dieubi
sqebeltousseg	skabelltouseg
zistrafuilla	distrafuilha
fionnage	fionaj
Lardtoas	larttoaz
livrour	levrer
distorlok	distorlok
arc'hlaskerienhoboud	klaskerevoued
Pa	pa
manioc	maniok
chiffein	chifachifalchifi
pentiec	penntieg
dadest	test
reclom	areklom
c'hoargaer	c'hoargaer
aretourn	aretorn
comparabl	komparapl
fuladen	fuladenn
crisset	kriset
demanaout	damanavezout
levenedigez	levenedigezh
traouillerou	traouilher
loskus	loskus
dislea	dizlea
diankenia	diankeniadiankenat
zouellerez	touellerezh
dichelpan	dichelpa
dreespont	spont
goalstad	gwallstad
isfount	isfont
arc'hlanvour	klavour
toulandar	toullandar
diodet	diodet
ahurlam	ac'hourlamm
goulaouideiz	goulaouideiz
Avloaszo	avloazzo
glizennoufresq	glizhenngwlizhenn
bragoniou	bragonio
sul	sul
astenngouzoug	astenngouzoug
multrr	muntrer
Fic'hellerez	fic'hellerezh
setuaze	setu
yonyan	noter
muiarmui	muirmui
dislonket	dislonket
chinad	sinaat
lizet	lizet
SandMartinis	SantMartiniz
evarikleze	marikleza
naguet	get
mouistet	mouestet
ampoesounerez	ampoezonerezh
Lodennek	lodennek
pennfoll	pennfoll
leurzi	leurzi
Aean	hage
digor	digor
vostad	avostad
gimaus	grimasus
Jakez	Jakez
ezaer'maeza	maez
devesque	davesk
dreeurred	red
Baluden	paludenn
flastr	flastr
tenzorier	tezoriertezorer
impar	ampar
davet	dovaet
Abad	abad
ankeniuz	ankeniusankenus
parbleur	parbleur
Modez	Maodez
andrevach	trevaj
arGroaz	kroaz
distreina	distreina
feizd'amdouchic	feizda'mdouchig
melodiussa	melodius
lardous	lardous
sklasi	sklasasklasi
eurwianen	gwianenn
Semennou	semenn
klor	klor
hadkoachet	adkoacha
vontaribgant	aribl
dana	tana
brein	brein
fuzillet	fuzuilha
Aketaou	ergentaou
didach	didach
Laou	Laou
sec'het	sec'het
ahurlam	gourlamm
brinnoni	breinoni
glazet	glazet
spound	spont
Kign	kign
bremaik	bremaik
eurc'hempen	kempenn
diskareo	diskaranhav
harluet	harluet
dinac'hiou	dinac'h
arumdarum	arummdarumm
c'hournaouog	kornaoueg
rebiz	rebiz
limage	limaj
zermounerrien	sarmoner
disjointret	disjoentret
limajeu	limaj
koattan	koadtan
divarzu	diwarzu
teurbellek	teurbelek
eurvouchenn	mouchenn
skedet	skeudi
libouz	liboust
c'hegilloutoull	kegeldoull
Hualou	hual
Brejed	brezet
fermoni	fermoni
tossenneg	tosennek
habilentez	abilentez
Complidou	komplido
Sembolen	simbolenn
o	arnod
erbouvor	pouvoer
divot	divot
eveljust	eveljust
touyereah	touerezh
ergenail	kanailh
procesi	proseziprosezal
tausseu	taos
gwall	gwall
tuffec	tufektufevek
nevez	nevez
touch	touch
eihdiat	eizhteziad
blazenn	blazenn
urbarti	parti
Europead	Europead
koadesk	koadesk
goao	goaf
kastorin	kastorin
fateit	fasataet
humvellein	mellamelli
misericord	mizerikord
disvempra	disvempra
avaman	avama
spountrak	spont
begatebet	begad
mouamant	mouvamant
Jaodreer	jaodrer
eurveurdez	meurdez
acolit	akolit
touyadelleu	touadell
varvailh	marvailh
enhuad	huadi
zioula	sioula
arvoderasion	moderasion
ispridet	ispridet
ograouet	ograoui
ageta	agenta
klostret	klostret
duta	tuta
diskoulm	diskoulmadiskoulm
d'audissalar	godisalgodisa
Kerne	KernevKerne
chomdagoza	kozhakozhi
eonuz	eonus
talvouduz	talvoudus
eurc'hourlonen	gourlenenn
flambyeu	flambev
Kazpin	kazhpin
koant	koant
coalgundu	gwallgundu
scrigndent	skrigndent
divinet	divini
wardaro	warzarev
adoulladou	adoullado
Klask	klask
coulined	koulin
coc'hennet	koc'hennet
arc'hournaouok	kornaoueg
sklent	sklent
leveourien	leveour
c'hoarvager	c'hoarvager
epinarz	espinard
glaouennet	glaouennet
famin	famin
kaolmeler	kaolmeler
kloc'hgalf	kloc'hgalv
tantationeu	tantasion
kousket	kousketkouski
neuennat	neuvennat
kefiada	kefiada
cess	ases
minoret	minoret
arvamc'hrizien	mammwrizienn
morliqin	morlikin
tintennenn	tintenenn
diamors	diamors
penturi	penturi
adaol	adaol
gouhlaitarw	koletarv
leuryouqarr	leurgarr
prezeg	preg
skarzeriengodellou	skarzhergodello
baotrezsaout	paotrezsaout
marnec'het	marnec'het
gouez	gouez
ollbaduz	hollbadus
arlicoed	arlikon
olbuissance	hollbuisas
sacot	chakot
degas	degasdegasi
saotr	saotr
bodennet	bodennet
Priol	priol
begad	begad
dilabour	dilabour
ahir	ahir
liboust	liboust
streilhou	streilh
Spgar	spegar
dreistholl	dreistholl
ansouhet	ansouezhet
youstek	youst(ek
arbrophesi	profesi
insahet	ensac'ha
gremenneg	gremennek
Chipotal	chipotalchipotat
adroetro	adroetro
evitdoare	evitdoare
pabill	babilh
kiza	kizakizi
diaveasbro	diavaezbro
arvamgoz	mammgozh
rangalon	ranngalon
distrap	distrap
juif	juif
gouez	gouez
flaio	flac'h
dejanal	dejanaldejani
diempennidigez	diempennidigezh
dihlaharet	dic'hlac'hari
tarhereah	tarzherezh
anaoudeien	anaoudeg
Trm	tra
newentis	nevezinti
accouragein	akouraji
pezhiokoad	pezhkoad
lozenni	leozennaleozenni
dichaladur	dichaladur
dic'houtet	dic'houtet
saotaol	savtaol
fid'andero	fidanderv
feurgarga	peurgarga
afalledezo	fellelfelloutfallout
lumier	lumier
Pinnijenner	pinijenner
foran	foran
para	para
guidreal	gwidreal
izellt	izelaat
tenneres	tennerezh
Skoraskola	skora
liened	lienet
Skod	skod
Luguen	leuegen
Aviez	aviez
eunan	eunan
rzamma	resamma
gobius	gobius
arc'hroup	kroup
scrihuet	skrivet
pesked	pesk
chapeledin	chapeledachapeledichapeletat
eurvoudenn	moudenn
valvennigouDoue	malvennDoue
skeduzoc'h	skedus
anorborz	dorborzh
hug	hug
afasd'	afas
cabouillet	kabouilhet
Baragad	baragad
Douar	douarlabour
dourbil	dourbilh
lanchennyen	lachenneg
Diboella	diboelladiboelli
dianav	dianav
debepkourz	koulz
rapint	rapinarapini
foulet	foulet
edamizion	ami
grogioud	krogyod
kendirvi	kenderv
hepgoulennadisken	goulenn
kannadek	kannadeg
eurvammvleizez	bleizez
ribinou	ribin
difforhance	diforc'has
arvudurenn	mudurun
hirisset	hiriset
stadudet	statudastatudi
carnet	karnet
