amzeri	amzeri
arspered	berrentez
taraser	taraser
bankerien	bankerbankour
aetdigadao	digadao
Hollvestroni	hollvestroni
Dispounta	dispontidisponta
astrimp	astrimp
potour	potour
kaolbrokoli	kaolbrokoli
ruzvelen	ruzvelen
gouelst	gouelstae
kinteennan	kinte
vareaj	mareaj
avaloupechez	avalpechez
luduc'hoalen	luduholen
dreistgor	govor
taoliata	taoliata
poezahagaspoeza	aspoueza
eurhorndero	kornderv
Koutia	koutia
erhatat	ervataat
lentidigez	lentidigezh
Dijenoc'h	dijen
eurc'hac'hmouden	moudenn
Polonia	Polonia
Reveulzi	reveulzi
izelved	izelved
divrud	divrud
korbigenn	korbigenn
laviga	lavigalavigat
didou	didou
kasade	kasade
broenneg	broeneg
amzer	amzer
ou	bloukard
gwidal	gwidal
Glanyezhourien	glanyezhour
arGloria	gloria
staldiegezh	staldiegezh
ied	sablienn
baskein	baskein
Nondedyah	nondediac'h
bonjouri	bojouri
dinanet	dinaonet
marc'hnaer	marc'haer
boulltenn	boultenn
ergordennad	kordennad
argarvanlien	karvanlien
falzkreden	falskredenn
hwiledSantYann	c'hwilsantYann
vag	mag
affuret	afuret
bouedhanv	bouedhav
emzikour	emsikour
peurgloza	peurgloza
chao	chav
tadabad	tadabad
Spleda	spleda
paotrarc'hilkrog	kilkrog
tastoni	dastoni
faro	faro
skanbennet	skavbennet
tuda	tuda
erc'hskorn	erc'hskorn
broein	broabroiabroi
bastellen	pastellenn
voret	eoreteoriet
forbanet	forbannet
pourmenet	pourmenpourmeni
lustrugen	lustrugenn
rastelldoull	rastelldoull
en	amzer
agildro	agildro
marvad	moarvat
n'ouzondare	dare
Bonjouri	bojouri
weliena	gweliena
dregreiz	dregreiz
baldol	dol
veri	merameri
golernein	gwalarni
feblentez	feblentez
flepa	flepaflepatflepi
lagout	lagout
ec'houelmiklez	gouelMikaelez
bouederc'h	bouederc'h
Kofostamm	kofstamm
andlter	aoter
chinkgoloen	chikolodenn
flip	flip
diboret	diboreet
fonsier	fosier
erc'hofituriou	kofitur
demnoblanz	damnoblas
hoffblo	koefblev
koc'hbleiz	kaoc'hbleiz
skrignet	skrignet
fubumoui	moui
Soterez	soterezh
muiohpemui	muioc'hpevui
teltet	telti
jaujapl	jaojapl
bourus	bourrus
edoulad	toulladi
abelldro	abelldro
saldibri	saldebri
'noaparti	parti
umvobionat	bobionat
tredan	tredan
fiskoaniet	fiskoania
stouvell	stouvell
poupig	poupig
Falimpl	fallimplij
Eurvenajereztaol	menajereztaol
stennstegn	stign
dihiliet	dihiliet
koletenn	koletenn
Kerien	Kerrien
rastelldoenn	rastelldoenn
harrikotal	harikotal
kiza	kizakizi
dirange	diraj
warhokorre	gorre
marhlevr	marc'hlevr
ergadorpredeg	kadorbrezeg
mammougoz	mammgozh
Unaniez	unaniezh
malizennou	malizenn
arspount	spont
aredare	aredare
c'hourlerikat	goulerc'hikat
arteziad	arteziat
trederann	trederenn
direlijion	direlijion
dichleu	diselaou
Bilost	belost
raadur	raiadur
garnubet	garenebi
dizouar	dizouar
Foran	foran
lagoutat	lagouta
Salan	Salaun
guindas	gwindask
istrevijiri	estrebedestreved
Nonndezhi	nonn
Puff	puf
pastellenneu	pastellenn
lartpik	lartpik
termajiou	termaji
piltoz	piltos
mastourennet	mastarennet
espermette	spurmanti
lip	lip
Koagat	koagalkoagatkoaga
dantmarc'h	dantmarc'h
foulia	fouliav
divoull	divoull
arC'hapetinad	kapetinad
dilabour	dilabour
eunhagen	eeunhageeun
minet	minet
framasonek	framasonek
dak	dak
avozadou	avozado
reiz	reizh
mahet	mac'het
monedone	monedone
fabota	farbota
Daon	daon
Gwalleruzamant	gwalleruzamant
revor	revor
gaouiet	gaouiagaouial
diskalon	diskalon
rudagn	rugagn
abilpazig	abilpazig
nedinteger	tintaltinta
shour	sec'hor
muchamurcha	muchamuchi
divourdein	divourdi
skism	skism
tres	tres
hetein	hetaatheti
digomz	digomz
bouilha	bouilhabouilhi
tidanrieu	didaner
boukidipenndu	bokedpenndu
dilodennus	dilodennus
Streubeul	streuvell
avat	avat
ayunas	yunayuniyun
gwerbilh	gwerbilh
aziarskan	azirskav
kilbleg	kilbleg
fourrat	fourrad
laezmesk	mesk
adreuzdidreuz	treuzididreuzi
evitoare	evitdoare
brein	brein
tamall	tamall
Boudet	boudet
avremenik	avremanik
TadouGwenn	tadgwenn
bichibonig	bichibonig
livitennet	levitennet
erion	esaeer
titich	titich
tizelita	dizelita
tremeniad	tremeniad
