bourbonenn	bourbonenn
aradiez	diaez
nionk	nionk
orbidus	orbidus
sourleuin	sourlevenez
standill	standilh
diehan	diehan
ledanentez	ledanentez
jolomite	jolimitejolomite
tarzhgouloanNorz	tarzhgouloannorzh
visat	bizat
Divoser	divoser
aneostgwenn	eostgwenn
diluchet	dilucha
etermone	termona
marc'heget	marc'hegamarc'hegi
loustrom	loustrom
dabourantein	nemoranti
gan	gan
tivraza	divrazadivrazi
IaouBask	YaouBaskYaouFask
diblg	dibleg
personkanton	personkanton
rizennou	rizenn
glaopil	glavpil
raskenn	rasklenn
vanilhez	vanilhez
didalvezded	didalvezded
taolstrap	strap
Fidajampi	fidajampi
drailh	drailh
pilu	pilev
sankou	sanko
diskalon	diskalon
kelientsetse	kelientsetse
bos	bos
marmouzenn	marmouzenn
merchad	merkad
N'ekwir	nekwir
loueren	loerenn
peuserehreah	peuserezh
peziou	pezhc'hoari
enhoc'houlz	koulz
eteoenerout	roud
millr	miller
karet	kara
araog	koulz
diialc'het	diyalc'ha
feizleun	feizleun
amfetis	amfetis
huchalfinforhd'hebuh	finforzh
diforein	difoeri
skop	skob
jenamant	jenamant
bulgareg	bulgareg
kentdaouarn	kentdorn
diandon	diandon
zaoubenni	daoubenni
eunan	eunan
coefrided	koefridet
vangounellou	bangounell
bilost	belost
mestrezetskol	mestrezskol
galianek	galianek
zidreunia	didroc'holia
Eundarinenn	tarinenn
fardach	fardaj
titouret	titouri
pevarlammat	pevarlammatpevarlammi
feret	feret
divinadl	divinadell
diduemmein	didomma
eurc'harziad	garzhadgarzhiad
meskaj	meskaj
humhersas	hersalhersahersi
dismantret	dismantradismantridismantr
ambludi	ambleudi
Akre	akre
relijiel	relijiel
ilisez	irinjez
sebeliadur	sebeliadur
steredenndared	stereddared
mac'hagn	mac'hagn
kenetrezoc'h	kenetre
Impia	impia
koatet	koatet
dichret	dicheret
treboulereh	treboulerezh
choulas	choulas
Vadam	madam
stankkanna	stankkanna
vourc'hadenn	bourc'hadenn
en	amzer
deuhantret	daouhanteret
agorfmaro	agorfmarv
pismiget	pismigapismigat
pouta	pout
Sapretiri	sapretiri
